mode,nprobe,alpha,recall@10,e2e_ms,p99_ms,preload_time_ms,preload_bytes,output_dir
historical_full_preload,200,0.01,0.9640,2.3660,2.8300,68.0910,120459264,/home/zcq/VDB/test/lowload_rerun_full_a001/coco_100k_20260415T113401
historical_full_preload,200,0.02,0.9551,2.3440,2.8340,68.2150,120459264,/home/zcq/VDB/test/lowload_rerun_full_a002/coco_100k_20260415T113413
historical_full_preload,200,0.05,0.9346,1.6090,1.9460,68.0140,120459264,/home/zcq/VDB/test/lowload_rerun_full_a005/coco_100k_20260415T113427
historical_full_preload,200,0.10,0.9021,1.4580,2.7170,68.5690,120459264,/home/zcq/VDB/test/lowload_rerun_full_a010/coco_100k_20260415T113440
historical_full_preload,200,0.15,0.8180,0.8310,1.0180,68.2680,120459264,/home/zcq/VDB/test/lowload_rerun_full_a015/coco_100k_20260415T113452
historical_full_preload,200,0.20,0.7578,0.6790,0.8460,67.8250,120459264,/home/zcq/VDB/test/lowload_rerun_full_a020/coco_100k_20260415T113504
phase1_revert_eps075,200,0.01,0.9505,0.7190,0.9249,12.4895,120496128,/tmp/phase1_alpha_sweep_20260415/alpha_0p01/coco_100k_20260415T220728
phase1_revert_eps075,200,0.02,0.9467,0.7119,0.9716,12.6350,120496128,/tmp/phase1_alpha_sweep_20260415/alpha_0p02/coco_100k_20260415T220736
phase1_revert_eps075,200,0.03,0.9417,0.7008,0.9059,12.6915,120496128,/tmp/phase1_alpha_sweep_20260415/alpha_0p03/coco_100k_20260415T220744
phase1_revert_eps075,200,0.04,0.9381,0.6961,0.9104,12.5229,120496128,/tmp/phase1_alpha_sweep_20260415/alpha_0p04/coco_100k_20260415T220752
phase1_revert_eps075,200,0.05,0.9322,0.7047,0.9788,12.5600,120496128,/tmp/phase1_alpha_sweep_20260415/alpha_0p05/coco_100k_20260415T220800
phase1_revert_eps075,200,0.07,0.9217,0.5851,0.9064,12.2937,120496128,/tmp/phase1_alpha_sweep_20260415/alpha_0p07/coco_100k_20260415T220808
phase1_revert_eps075,200,0.10,0.9016,0.5550,0.9022,12.2982,120496128,/tmp/phase1_alpha_sweep_20260415/alpha_0p10/coco_100k_20260415T220816
phase1_revert_eps075,200,0.15,0.8675,0.5145,0.9107,12.4223,120496128,/tmp/phase1_alpha_sweep_20260415/alpha_0p15/coco_100k_20260415T220824
phase1_revert_eps075,200,0.20,0.8334,0.4818,0.9124,12.4999,120496128,/tmp/phase1_alpha_sweep_20260415/alpha_0p20/coco_100k_20260415T220832
