epsilon,alpha,recall@10,e2e_ms,p99_ms,preload_time_ms,preload_bytes,probe_ms,index_dir,output_dir
0.75,0.01,0.9505,0.7016,0.9065,20.2960,120496128,0.4544,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_001/coco_100k_20260415T221458
0.75,0.02,0.9467,0.6999,0.9065,20.8476,120496128,0.4553,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_002/coco_100k_20260415T221506
0.75,0.03,0.9417,0.6920,0.9016,20.5763,120496128,0.4476,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_003/coco_100k_20260415T221514
0.75,0.04,0.9381,0.6900,0.9051,19.7438,120496128,0.4458,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_004/coco_100k_20260415T221521
0.75,0.05,0.9322,0.6859,0.9044,20.0880,120496128,0.4418,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_005/coco_100k_20260415T221529
0.75,0.07,0.9217,0.5864,0.9062,20.4206,120496128,0.3532,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_007/coco_100k_20260415T221538
0.75,0.10,0.9016,0.5502,0.8924,19.5142,120496128,0.3229,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_010/coco_100k_20260415T221545
0.75,0.15,0.8675,0.5115,0.9076,19.7798,120496128,0.2897,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_015/coco_100k_20260415T221553
0.75,0.20,0.8334,0.4731,0.8954,19.8149,120496128,0.2561,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_020/coco_100k_20260415T221601
0.80,0.01,0.9523,0.7218,0.9436,13.8584,120496128,0.4756,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_001/coco_100k_20260415T221609
0.80,0.02,0.9488,0.7189,0.9484,13.7797,120496128,0.4720,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_002/coco_100k_20260415T221617
0.80,0.03,0.9432,0.7159,0.9480,13.9355,120496128,0.4708,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_003/coco_100k_20260415T221625
0.80,0.04,0.9395,0.7121,0.9586,13.6456,120496128,0.4657,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_004/coco_100k_20260415T221632
0.80,0.05,0.9335,0.7100,0.9550,14.1449,120496128,0.4645,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_005/coco_100k_20260415T221641
0.80,0.07,0.9231,0.6042,0.9547,13.7460,120496128,0.3710,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_007/coco_100k_20260415T221649
0.80,0.10,0.9026,0.5727,0.9597,14.0662,120496128,0.3431,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_010/coco_100k_20260415T221656
0.80,0.15,0.8681,0.5257,0.9640,14.0242,120496128,0.3016,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_015/coco_100k_20260415T221704
0.80,0.20,0.8329,0.4922,0.9586,13.6350,120496128,0.2735,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_020/coco_100k_20260415T221712
0.90,0.01,0.9536,0.8140,1.1098,16.3262,120496128,0.5531,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_001/coco_100k_20260415T221720
0.90,0.02,0.9497,0.8046,1.0911,16.0663,120496128,0.5452,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_002/coco_100k_20260415T221728
0.90,0.03,0.9444,0.8002,1.1011,16.1038,120496128,0.5420,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_003/coco_100k_20260415T221736
0.90,0.04,0.9407,0.7953,1.0972,16.0504,120496128,0.5382,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_004/coco_100k_20260415T221744
0.90,0.05,0.9344,0.7898,1.0961,15.6632,120496128,0.5336,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_005/coco_100k_20260415T221752
