system,dataset,topk,param,recall@1,recall@5,recall@10,avg_latency_ms,p50_latency_ms,p99_latency_ms,notes,protocol
DiskANN-disk,coco_100k,10,"R=64,L_build=100,L_search=32",0.9680,1.0000,1.0000,2.5569,2.5202,3.3799,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=64,L_build=100,L_search=64",0.9810,1.0000,1.0000,4.5605,4.5341,5.3421,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=64,L_build=100,L_search=96",0.9830,1.0000,1.0000,6.5705,6.5581,7.3866,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=64,L_build=100,L_search=128",0.9840,1.0000,1.0000,8.5957,8.5775,9.2917,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=64,L_build=100,L_search=160",0.9840,1.0000,1.0000,10.6542,10.6457,11.3430,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=64,L_build=100,L_search=192",0.9850,1.0000,1.0000,9.9307,9.1598,13.2593,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=64,L_build=100,L_search=256",0.9860,1.0000,1.0000,11.9813,11.9536,13.7977,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=32,L_build=50,L_search=5",0.7840,0.9830,0.9930,1.1585,1.1245,1.9010,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=32,L_build=50,L_search=10",0.7840,0.9830,0.9930,1.3738,1.3402,2.1865,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=32,L_build=50,L_search=15",0.8290,0.9900,0.9950,1.3953,1.3562,2.2225,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=32,L_build=50,L_search=20",0.8590,0.9920,0.9970,1.9252,1.8875,2.9748,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=32,L_build=50,L_search=30",0.8960,0.9950,0.9980,2.4763,2.4340,3.5780,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=32,L_build=50,L_search=40",0.9160,0.9980,0.9990,3.0696,3.0188,4.0966,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
DiskANN-disk,coco_100k,10,"R=32,L_build=50,L_search=50",0.9310,0.9990,0.9990,3.6190,3.5815,4.6523,"warmup=100,queries=1000,beam=4,cache_nodes=10000",warm
